reporting_date,segment_value,segment_records,delinquency_rate,critical_risk_rate,write_off_rate,segment_type
2025-01-01,18-25,226,0.2212,0.177,0.0265,age_band
2025-01-01,26-35,604,0.2715,0.2103,0.0546,age_band
2025-01-01,36-45,185,0.2486,0.1838,0.0324,age_band
2025-01-01,46-55,40,0.2,0.2,0.075,age_band
2025-01-01,55+,13,0.0769,0.0769,0.0,age_band
2025-01-01,Missing,7867,0.4444,0.331,0.1485,age_band
2025-03-30,18-25,537,0.3873,0.2142,0.0205,age_band
2025-03-30,26-35,1502,0.3302,0.1844,0.0366,age_band
2025-03-30,36-45,489,0.2883,0.1636,0.0307,age_band
2025-03-30,46-55,130,0.2538,0.0692,0.0308,age_band
2025-03-30,55+,45,0.1778,0.0667,0.0222,age_band
2025-03-30,Missing,8321,0.4782,0.3974,0.2038,age_band
2025-06-30,18-25,983,0.4079,0.2431,0.057,age_band
2025-06-30,26-35,2841,0.339,0.208,0.0616,age_band
2025-06-30,36-45,957,0.303,0.1724,0.0554,age_band
2025-06-30,46-55,255,0.2627,0.1176,0.0588,age_band
2025-06-30,55+,74,0.2568,0.1081,0.0405,age_band
2025-06-30,Missing,8781,0.4887,0.4439,0.2389,age_band
2025-09-30,18-25,1377,0.4299,0.2665,0.1068,age_band
2025-09-30,26-35,4335,0.3739,0.233,0.099,age_band
2025-09-30,36-45,1457,0.3363,0.208,0.0906,age_band
2025-09-30,46-55,429,0.2727,0.1585,0.0723,age_band
2025-09-30,55+,116,0.3276,0.1638,0.1034,age_band
2025-09-30,Missing,9150,0.4976,0.4671,0.2556,age_band
2025-12-30,18-25,1785,0.4672,0.2969,0.1322,age_band
2025-12-30,26-35,6353,0.422,0.2654,0.1181,age_band
2025-12-30,36-45,2225,0.3694,0.2279,0.1002,age_band
2025-12-30,46-55,649,0.3174,0.1787,0.0878,age_band
2025-12-30,55+,163,0.3865,0.227,0.1288,age_band
2025-12-30,Missing,9567,0.5001,0.4715,0.2565,age_band
2025-01-01,"10,000-19,999",21,0.2381,0.1905,0.0,avg_monthly_income_band
2025-01-01,"100,000-149,999",115,0.2261,0.1391,0.0,avg_monthly_income_band
2025-01-01,"150,000+",360,0.1389,0.0917,0.0083,avg_monthly_income_band
2025-01-01,"20,000-29,999",49,0.2653,0.2653,0.0,avg_monthly_income_band
2025-01-01,"30,000-49,999",111,0.2432,0.1982,0.009,avg_monthly_income_band
2025-01-01,"5,000-9,999",8,0.0,0.0,0.0,avg_monthly_income_band
2025-01-01,"50,000-99,999",210,0.2048,0.1286,0.0048,avg_monthly_income_band
2025-01-01,"Below 5,000",9,0.2222,0.2222,0.0,avg_monthly_income_band
2025-01-01,Missing,8052,0.447,0.3349,0.1504,avg_monthly_income_band
2025-03-30,"10,000-19,999",61,0.4098,0.2295,0.0,avg_monthly_income_band
2025-03-30,"100,000-149,999",349,0.3152,0.1547,0.0229,avg_monthly_income_band
2025-03-30,"150,000+",1113,0.2597,0.1222,0.0171,avg_monthly_income_band
2025-03-30,"20,000-29,999",121,0.3884,0.2397,0.0083,avg_monthly_income_band
2025-03-30,"30,000-49,999",285,0.4281,0.214,0.0175,avg_monthly_income_band
2025-03-30,"5,000-9,999",20,0.45,0.25,0.0,avg_monthly_income_band
2025-03-30,"50,000-99,999",565,0.3345,0.1735,0.0088,avg_monthly_income_band
2025-03-30,"Below 5,000",14,0.4286,0.3571,0.0,avg_monthly_income_band
2025-03-30,Missing,8496,0.4788,0.3989,0.2053,avg_monthly_income_band
2025-06-30,"10,000-19,999",107,0.4579,0.2336,0.0187,avg_monthly_income_band
2025-06-30,"100,000-149,999",692,0.341,0.172,0.0434,avg_monthly_income_band
2025-06-30,"150,000+",2177,0.2903,0.1631,0.0478,avg_monthly_income_band
2025-06-30,"20,000-29,999",211,0.4028,0.2322,0.0379,avg_monthly_income_band
2025-06-30,"30,000-49,999",550,0.4527,0.2691,0.0709,avg_monthly_income_band
2025-06-30,"5,000-9,999",32,0.375,0.2812,0.0312,avg_monthly_income_band
2025-06-30,"50,000-99,999",1067,0.3655,0.2259,0.0656,avg_monthly_income_band
2025-06-30,"Below 5,000",16,0.4375,0.375,0.0625,avg_monthly_income_band
2025-06-30,Missing,9039,0.4836,0.4402,0.2373,avg_monthly_income_band
2025-09-30,"10,000-19,999",189,0.4444,0.2434,0.1005,avg_monthly_income_band
2025-09-30,"100,000-149,999",1038,0.3873,0.2187,0.0906,avg_monthly_income_band
2025-09-30,"150,000+",3179,0.3363,0.2001,0.0881,avg_monthly_income_band
2025-09-30,"20,000-29,999",342,0.4532,0.2895,0.1023,avg_monthly_income_band
2025-09-30,"30,000-49,999",850,0.4753,0.3035,0.1282,avg_monthly_income_band
2025-09-30,"5,000-9,999",53,0.434,0.2264,0.0566,avg_monthly_income_band
2025-09-30,"50,000-99,999",1620,0.392,0.2451,0.0957,avg_monthly_income_band
2025-09-30,"Below 5,000",19,0.5263,0.3684,0.0526,avg_monthly_income_band
2025-09-30,Missing,9574,0.4835,0.4553,0.2501,avg_monthly_income_band
2025-12-30,"10,000-19,999",271,0.5018,0.2952,0.1292,avg_monthly_income_band
2025-12-30,"100,000-149,999",1542,0.4189,0.2503,0.1122,avg_monthly_income_band
2025-12-30,"150,000+",4673,0.3818,0.232,0.1066,avg_monthly_income_band
2025-12-30,"20,000-29,999",465,0.5075,0.3355,0.1419,avg_monthly_income_band
2025-12-30,"30,000-49,999",1212,0.4992,0.33,0.1526,avg_monthly_income_band
2025-12-30,"5,000-9,999",73,0.4795,0.2877,0.0959,avg_monthly_income_band
2025-12-30,"50,000-99,999",2344,0.4369,0.2705,0.1122,avg_monthly_income_band
2025-12-30,"Below 5,000",29,0.4483,0.3103,0.069,avg_monthly_income_band
2025-12-30,Missing,10133,0.4847,0.4556,0.2479,avg_monthly_income_band
